respondent_id,concept,familiarity
630,The Sustainable Development Goals,1. I have never heard of the term at all
631,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
633,The Sustainable Development Goals,1. I have never heard of the term at all
634,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
636,The Sustainable Development Goals,3. I know the meaning of the concept a little bit
641,The Sustainable Development Goals,1. I have never heard of the term at all
642,The Sustainable Development Goals,1. I have never heard of the term at all
647,The Sustainable Development Goals,1. I have never heard of the term at all
650,The Sustainable Development Goals,4. I know the meaning of the concept quite well
2,Carbon offsetting,1. I have never heard of the term at all
9,Carbon offsetting,4. I know the meaning of the concept quite well
50,Carbon offsetting,4. I know the meaning of the concept quite well
59,Carbon offsetting,4. I know the meaning of the concept quite well
62,Carbon offsetting,3. I know the meaning of the concept a little bit
65,Carbon offsetting,3. I know the meaning of the concept a little bit
71,Carbon offsetting,4. I know the meaning of the concept quite well
76,Carbon offsetting,3. I know the meaning of the concept a little bit
102,Carbon offsetting,5. I have very good knowledge of the concept
105,Carbon offsetting,3. I know the meaning of the concept a little bit
139,Carbon offsetting,4. I know the meaning of the concept quite well
229,Carbon offsetting,3. I know the meaning of the concept a little bit
235,Carbon offsetting,2. I have heard of the concept but no more
244,Carbon offsetting,3. I know the meaning of the concept a little bit
259,Carbon offsetting,4. I know the meaning of the concept quite well
263,Carbon offsetting,2. I have heard of the concept but no more
267,Carbon offsetting,5. I have very good knowledge of the concept
269,Carbon offsetting,3. I know the meaning of the concept a little bit
276,Carbon offsetting,4. I know the meaning of the concept quite well
291,Carbon offsetting,1. I have never heard of the term at all
294,Carbon offsetting,5. I have very good knowledge of the concept
301,Carbon offsetting,5. I have very good knowledge of the concept
317,Carbon offsetting,3. I know the meaning of the concept a little bit
318,Carbon offsetting,3. I know the meaning of the concept a little bit
321,Carbon offsetting,4. I know the meaning of the concept quite well
324,Carbon offsetting,5. I have very good knowledge of the concept
325,Carbon offsetting,4. I know the meaning of the concept quite well
326,Carbon offsetting,4. I know the meaning of the concept quite well
328,Carbon offsetting,3. I know the meaning of the concept a little bit
331,Carbon offsetting,4. I know the meaning of the concept quite well
332,Carbon offsetting,3. I know the meaning of the concept a little bit
333,Carbon offsetting,3. I know the meaning of the concept a little bit
335,Carbon offsetting,4. I know the meaning of the concept quite well
344,Carbon offsetting,4. I know the meaning of the concept quite well
345,Carbon offsetting,4. I know the meaning of the concept quite well
349,Carbon offsetting,5. I have very good knowledge of the concept
351,Carbon offsetting,3. I know the meaning of the concept a little bit
361,Carbon offsetting,2. I have heard of the concept but no more
370,Carbon offsetting,2. I have heard of the concept but no more
374,Carbon offsetting,4. I know the meaning of the concept quite well
385,Carbon offsetting,4. I know the meaning of the concept quite well
386,Carbon offsetting,5. I have very good knowledge of the concept
389,Carbon offsetting,3. I know the meaning of the concept a little bit
394,Carbon offsetting,5. I have very good knowledge of the concept
398,Carbon offsetting,4. I know the meaning of the concept quite well
410,Carbon offsetting,5. I have very good knowledge of the concept
411,Carbon offsetting,3. I know the meaning of the concept a little bit
415,Carbon offsetting,5. I have very good knowledge of the concept
419,Carbon offsetting,4. I know the meaning of the concept quite well
423,Carbon offsetting,3. I know the meaning of the concept a little bit
424,Carbon offsetting,2. I have heard of the concept but no more
433,Carbon offsetting,3. I know the meaning of the concept a little bit
434,Carbon offsetting,3. I know the meaning of the concept a little bit
439,Carbon offsetting,2. I have heard of the concept but no more
443,Carbon offsetting,3. I know the meaning of the concept a little bit
449,Carbon offsetting,4. I know the meaning of the concept quite well
452,Carbon offsetting,3. I know the meaning of the concept a little bit
456,Carbon offsetting,3. I know the meaning of the concept a little bit
458,Carbon offsetting,4. I know the meaning of the concept quite well
460,Carbon offsetting,4. I know the meaning of the concept quite well
463,Carbon offsetting,3. I know the meaning of the concept a little bit
476,Carbon offsetting,4. I know the meaning of the concept quite well
480,Carbon offsetting,3. I know the meaning of the concept a little bit
487,Carbon offsetting,4. I know the meaning of the concept quite well
488,Carbon offsetting,3. I know the meaning of the concept a little bit
492,Carbon offsetting,2. I have heard of the concept but no more
494,Carbon offsetting,4. I know the meaning of the concept quite well
500,Carbon offsetting,4. I know the meaning of the concept quite well
504,Carbon offsetting,4. I know the meaning of the concept quite well
507,Carbon offsetting,3. I know the meaning of the concept a little bit
513,Carbon offsetting,3. I know the meaning of the concept a little bit
517,Carbon offsetting,3. I know the meaning of the concept a little bit
518,Carbon offsetting,3. I know the meaning of the concept a little bit
526,Carbon offsetting,2. I have heard of the concept but no more
531,Carbon offsetting,3. I know the meaning of the concept a little bit
532,Carbon offsetting,4. I know the meaning of the concept quite well
535,Carbon offsetting,3. I know the meaning of the concept a little bit
541,Carbon offsetting,4. I know the meaning of the concept quite well
553,Carbon offsetting,2. I have heard of the concept but no more
555,Carbon offsetting,4. I know the meaning of the concept quite well
557,Carbon offsetting,3. I know the meaning of the concept a little bit
559,Carbon offsetting,4. I know the meaning of the concept quite well
574,Carbon offsetting,1. I have never heard of the term at all
578,Carbon offsetting,4. I know the meaning of the concept quite well
579,Carbon offsetting,4. I know the meaning of the concept quite well
581,Carbon offsetting,4. I know the meaning of the concept quite well
584,Carbon offsetting,3. I know the meaning of the concept a little bit
590,Carbon offsetting,4. I know the meaning of the concept quite well
596,Carbon offsetting,3. I know the meaning of the concept a little bit
597,Carbon offsetting,3. I know the meaning of the concept a little bit
605,Carbon offsetting,3. I know the meaning of the concept a little bit
607,Carbon offsetting,3. I know the meaning of the concept a little bit
610,Carbon offsetting,4. I know the meaning of the concept quite well
612,Carbon offsetting,3. I know the meaning of the concept a little bit
619,Carbon offsetting,5. I have very good knowledge of the concept
621,Carbon offsetting,2. I have heard of the concept but no more
623,Carbon offsetting,3. I know the meaning of the concept a little bit
625,Carbon offsetting,5. I have very good knowledge of the concept
627,Carbon offsetting,5. I have very good knowledge of the concept
629,Carbon offsetting,4. I know the meaning of the concept quite well
630,Carbon offsetting,4. I know the meaning of the concept quite well
631,Carbon offsetting,2. I have heard of the concept but no more
633,Carbon offsetting,3. I know the meaning of the concept a little bit
634,Carbon offsetting,3. I know the meaning of the concept a little bit
636,Carbon offsetting,5. I have very good knowledge of the concept
641,Carbon offsetting,3. I know the meaning of the concept a little bit
642,Carbon offsetting,3. I know the meaning of the concept a little bit
647,Carbon offsetting,4. I know the meaning of the concept quite well
650,Carbon offsetting,5. I have very good knowledge of the concept
2,Net zero climate impact,4. I know the meaning of the concept quite well
9,Net zero climate impact,4. I know the meaning of the concept quite well
50,Net zero climate impact,1. I have never heard of the term at all
59,Net zero climate impact,3. I know the meaning of the concept a little bit
62,Net zero climate impact,3. I know the meaning of the concept a little bit
65,Net zero climate impact,2. I have heard of the concept but no more
71,Net zero climate impact,4. I know the meaning of the concept quite well
76,Net zero climate impact,3. I know the meaning of the concept a little bit
102,Net zero climate impact,3. I know the meaning of the concept a little bit
105,Net zero climate impact,2. I have heard of the concept but no more
139,Net zero climate impact,1. I have never heard of the term at all
229,Net zero climate impact,2. I have heard of the concept but no more
235,Net zero climate impact,3. I know the meaning of the concept a little bit
244,Net zero climate impact,2. I have heard of the concept but no more
259,Net zero climate impact,1. I have never heard of the term at all
263,Net zero climate impact,2. I have heard of the concept but no more
267,Net zero climate impact,5. I have very good knowledge of the concept
269,Net zero climate impact,3. I know the meaning of the concept a little bit
276,Net zero climate impact,2. I have heard of the concept but no more
291,Net zero climate impact,1. I have never heard of the term at all
294,Net zero climate impact,3. I know the meaning of the concept a little bit
301,Net zero climate impact,5. I have very good knowledge of the concept
317,Net zero climate impact,2. I have heard of the concept but no more
318,Net zero climate impact,1. I have never heard of the term at all
321,Net zero climate impact,3. I know the meaning of the concept a little bit
324,Net zero climate impact,2. I have heard of the concept but no more
325,Net zero climate impact,3. I know the meaning of the concept a little bit
326,Net zero climate impact,3. I know the meaning of the concept a little bit
328,Net zero climate impact,1. I have never heard of the term at all
331,Net zero climate impact,3. I know the meaning of the concept a little bit
332,Net zero climate impact,2. I have heard of the concept but no more
333,Net zero climate impact,2. I have heard of the concept but no more
335,Net zero climate impact,2. I have heard of the concept but no more
344,Net zero climate impact,4. I know the meaning of the concept quite well
345,Net zero climate impact,3. I know the meaning of the concept a little bit
349,Net zero climate impact,5. I have very good knowledge of the concept
351,Net zero climate impact,3. I know the meaning of the concept a little bit
361,Net zero climate impact,2. I have heard of the concept but no more
370,Net zero climate impact,1. I have never heard of the term at all
374,Net zero climate impact,3. I know the meaning of the concept a little bit
385,Net zero climate impact,3. I know the meaning of the concept a little bit
386,Net zero climate impact,3. I know the meaning of the concept a little bit
389,Net zero climate impact,3. I know the meaning of the concept a little bit
394,Net zero climate impact,5. I have very good knowledge of the concept
398,Net zero climate impact,4. I know the meaning of the concept quite well
410,Net zero climate impact,3. I know the meaning of the concept a little bit
411,Net zero climate impact,3. I know the meaning of the concept a little bit
415,Net zero climate impact,3. I know the meaning of the concept a little bit
419,Net zero climate impact,4. I know the meaning of the concept quite well
423,Net zero climate impact,2. I have heard of the concept but no more
424,Net zero climate impact,1. I have never heard of the term at all
433,Net zero climate impact,3. I know the meaning of the concept a little bit
434,Net zero climate impact,3. I know the meaning of the concept a little bit
439,Net zero climate impact,2. I have heard of the concept but no more
443,Net zero climate impact,3. I know the meaning of the concept a little bit
449,Net zero climate impact,3. I know the meaning of the concept a little bit
452,Net zero climate impact,1. I have never heard of the term at all
456,Net zero climate impact,1. I have never heard of the term at all
458,Net zero climate impact,1. I have never heard of the term at all
460,Net zero climate impact,5. I have very good knowledge of the concept
463,Net zero climate impact,2. I have heard of the concept but no more
476,Net zero climate impact,4. I know the meaning of the concept quite well
480,Net zero climate impact,3. I know the meaning of the concept a little bit
487,Net zero climate impact,3. I know the meaning of the concept a little bit
488,Net zero climate impact,2. I have heard of the concept but no more
492,Net zero climate impact,2. I have heard of the concept but no more
494,Net zero climate impact,2. I have heard of the concept but no more
500,Net zero climate impact,4. I know the meaning of the concept quite well
504,Net zero climate impact,1. I have never heard of the term at all
507,Net zero climate impact,2. I have heard of the concept but no more
513,Net zero climate impact,1. I have never heard of the term at all
517,Net zero climate impact,2. I have heard of the concept but no more
518,Net zero climate impact,2. I have heard of the concept but no more
526,Net zero climate impact,2. I have heard of the concept but no more
531,Net zero climate impact,3. I know the meaning of the concept a little bit
532,Net zero climate impact,3. I know the meaning of the concept a little bit
535,Net zero climate impact,3. I know the meaning of the concept a little bit
541,Net zero climate impact,4. I know the meaning of the concept quite well
553,Net zero climate impact,1. I have never heard of the term at all
555,Net zero climate impact,1. I have never heard of the term at all
557,Net zero climate impact,3. I know the meaning of the concept a little bit
559,Net zero climate impact,3. I know the meaning of the concept a little bit
574,Net zero climate impact,1. I have never heard of the term at all
578,Net zero climate impact,3. I know the meaning of the concept a little bit
579,Net zero climate impact,3. I know the meaning of the concept a little bit
581,Net zero climate impact,1. I have never heard of the term at all
584,Net zero climate impact,1. I have never heard of the term at all
590,Net zero climate impact,4. I know the meaning of the concept quite well
596,Net zero climate impact,3. I know the meaning of the concept a little bit
597,Net zero climate impact,1. I have never heard of the term at all
605,Net zero climate impact,3. I know the meaning of the concept a little bit
607,Net zero climate impact,3. I know the meaning of the concept a little bit
610,Net zero climate impact,5. I have very good knowledge of the concept
612,Net zero climate impact,3. I know the meaning of the concept a little bit
619,Net zero climate impact,2. I have heard of the concept but no more
621,Net zero climate impact,1. I have never heard of the term at all
623,Net zero climate impact,2. I have heard of the concept but no more
625,Net zero climate impact,2. I have heard of the concept but no more
627,Net zero climate impact,5. I have very good knowledge of the concept
629,Net zero climate impact,4. I know the meaning of the concept quite well
630,Net zero climate impact,1. I have never heard of the term at all
631,Net zero climate impact,1. I have never heard of the term at all
633,Net zero climate impact,3. I know the meaning of the concept a little bit
634,Net zero climate impact,1. I have never heard of the term at all
636,Net zero climate impact,4. I know the meaning of the concept quite well
641,Net zero climate impact,4. I know the meaning of the concept quite well
642,Net zero climate impact,3. I know the meaning of the concept a little bit
647,Net zero climate impact,1. I have never heard of the term at all
650,Net zero climate impact,5. I have very good knowledge of the concept
2,Climate positive,3. I know the meaning of the concept a little bit
9,Climate positive,4. I know the meaning of the concept quite well
50,Climate positive,3. I know the meaning of the concept a little bit
59,Climate positive,4. I know the meaning of the concept quite well
62,Climate positive,3. I know the meaning of the concept a little bit
65,Climate positive,2. I have heard of the concept but no more
71,Climate positive,4. I know the meaning of the concept quite well
76,Climate positive,4. I know the meaning of the concept quite well
102,Climate positive,4. I know the meaning of the concept quite well
105,Climate positive,3. I know the meaning of the concept a little bit
139,Climate positive,1. I have never heard of the term at all
229,Climate positive,1. I have never heard of the term at all
235,Climate positive,3. I know the meaning of the concept a little bit
244,Climate positive,4. I know the meaning of the concept quite well
259,Climate positive,4. I know the meaning of the concept quite well
263,Climate positive,2. I have heard of the concept but no more
267,Climate positive,4. I know the meaning of the concept quite well
269,Climate positive,3. I know the meaning of the concept a little bit
276,Climate positive,3. I know the meaning of the concept a little bit
291,Climate positive,3. I know the meaning of the concept a little bit
294,Climate positive,4. I know the meaning of the concept quite well
301,Climate positive,5. I have very good knowledge of the concept
317,Climate positive,2. I have heard of the concept but no more
318,Climate positive,3. I know the meaning of the concept a little bit
321,Climate positive,4. I know the meaning of the concept quite well
324,Climate positive,3. I know the meaning of the concept a little bit
325,Climate positive,3. I know the meaning of the concept a little bit
326,Climate positive,3. I know the meaning of the concept a little bit
328,Climate positive,3. I know the meaning of the concept a little bit
331,Climate positive,3. I know the meaning of the concept a little bit
332,Climate positive,3. I know the meaning of the concept a little bit
333,Climate positive,3. I know the meaning of the concept a little bit
335,Climate positive,4. I know the meaning of the concept quite well
344,Climate positive,4. I know the meaning of the concept quite well
345,Climate positive,2. I have heard of the concept but no more
349,Climate positive,5. I have very good knowledge of the concept
351,Climate positive,3. I know the meaning of the concept a little bit
361,Climate positive,3. I know the meaning of the concept a little bit
370,Climate positive,2. I have heard of the concept but no more
374,Climate positive,2. I have heard of the concept but no more
385,Climate positive,4. I know the meaning of the concept quite well
386,Climate positive,3. I know the meaning of the concept a little bit
389,Climate positive,2. I have heard of the concept but no more
394,Climate positive,4. I know the meaning of the concept quite well
398,Climate positive,4. I know the meaning of the concept quite well
410,Climate positive,5. I have very good knowledge of the concept
411,Climate positive,3. I know the meaning of the concept a little bit
415,Climate positive,4. I know the meaning of the concept quite well
419,Climate positive,4. I know the meaning of the concept quite well
423,Climate positive,2. I have heard of the concept but no more
424,Climate positive,2. I have heard of the concept but no more
433,Climate positive,3. I know the meaning of the concept a little bit
434,Climate positive,3. I know the meaning of the concept a little bit
439,Climate positive,3. I know the meaning of the concept a little bit
443,Climate positive,2. I have heard of the concept but no more
449,Climate positive,3. I know the meaning of the concept a little bit
452,Climate positive,3. I know the meaning of the concept a little bit
456,Climate positive,1. I have never heard of the term at all
458,Climate positive,4. I know the meaning of the concept quite well
460,Climate positive,4. I know the meaning of the concept quite well
463,Climate positive,2. I have heard of the concept but no more
476,Climate positive,3. I know the meaning of the concept a little bit
480,Climate positive,3. I know the meaning of the concept a little bit
487,Climate positive,2. I have heard of the concept but no more
488,Climate positive,3. I know the meaning of the concept a little bit
492,Climate positive,2. I have heard of the concept but no more
494,Climate positive,3. I know the meaning of the concept a little bit
500,Climate positive,4. I know the meaning of the concept quite well
504,Climate positive,3. I know the meaning of the concept a little bit
507,Climate positive,1. I have never heard of the term at all
513,Climate positive,2. I have heard of the concept but no more
517,Climate positive,2. I have heard of the concept but no more
518,Climate positive,2. I have heard of the concept but no more
526,Climate positive,2. I have heard of the concept but no more
531,Climate positive,1. I have never heard of the term at all
532,Climate positive,4. I know the meaning of the concept quite well
535,Climate positive,1. I have never heard of the term at all
541,Climate positive,3. I know the meaning of the concept a little bit
553,Climate positive,2. I have heard of the concept but no more
555,Climate positive,1. I have never heard of the term at all
557,Climate positive,3. I know the meaning of the concept a little bit
559,Climate positive,4. I know the meaning of the concept quite well
574,Climate positive,1. I have never heard of the term at all
578,Climate positive,3. I know the meaning of the concept a little bit
579,Climate positive,4. I know the meaning of the concept quite well
581,Climate positive,1. I have never heard of the term at all
584,Climate positive,3. I know the meaning of the concept a little bit
590,Climate positive,3. I know the meaning of the concept a little bit
596,Climate positive,2. I have heard of the concept but no more
597,Climate positive,2. I have heard of the concept but no more
605,Climate positive,3. I know the meaning of the concept a little bit
607,Climate positive,3. I know the meaning of the concept a little bit
610,Climate positive,5. I have very good knowledge of the concept
612,Climate positive,3. I know the meaning of the concept a little bit
619,Climate positive,4. I know the meaning of the concept quite well
621,Climate positive,2. I have heard of the concept but no more
623,Climate positive,2. I have heard of the concept but no more
625,Climate positive,3. I know the meaning of the concept a little bit
627,Climate positive,5. I have very good knowledge of the concept
629,Climate positive,4. I know the meaning of the concept quite well
630,Climate positive,3. I know the meaning of the concept a little bit
631,Climate positive,2. I have heard of the concept but no more
633,Climate positive,3. I know the meaning of the concept a little bit
634,Climate positive,2. I have heard of the concept but no more
636,Climate positive,1. I have never heard of the term at all
641,Climate positive,3. I know the meaning of the concept a little bit
642,Climate positive,4. I know the meaning of the concept quite well
647,Climate positive,5. I have very good knowledge of the concept
650,Climate positive,4. I know the meaning of the concept quite well
2,Climate neutral,4. I know the meaning of the concept quite well
9,Climate neutral,4. I know the meaning of the concept quite well
50,Climate neutral,3. I know the meaning of the concept a little bit
59,Climate neutral,3. I know the meaning of the concept a little bit
62,Climate neutral,2. I have heard of the concept but no more
65,Climate neutral,3. I know the meaning of the concept a little bit
71,Climate neutral,4. I know the meaning of the concept quite well
76,Climate neutral,4. I know the meaning of the concept quite well
102,Climate neutral,5. I have very good knowledge of the concept
105,Climate neutral,4. I know the meaning of the concept quite well
139,Climate neutral,4. I know the meaning of the concept quite well
229,Climate neutral,4. I know the meaning of the concept quite well
235,Climate neutral,3. I know the meaning of the concept a little bit
244,Climate neutral,4. I know the meaning of the concept quite well
259,Climate neutral,3. I know the meaning of the concept a little bit
263,Climate neutral,2. I have heard of the concept but no more
267,Climate neutral,5. I have very good knowledge of the concept
269,Climate neutral,3. I know the meaning of the concept a little bit
276,Climate neutral,3. I know the meaning of the concept a little bit
291,Climate neutral,3. I know the meaning of the concept a little bit
294,Climate neutral,4. I know the meaning of the concept quite well
301,Climate neutral,5. I have very good knowledge of the concept
317,Climate neutral,2. I have heard of the concept but no more
318,Climate neutral,2. I have heard of the concept but no more
321,Climate neutral,4. I know the meaning of the concept quite well
324,Climate neutral,2. I have heard of the concept but no more
325,Climate neutral,4. I know the meaning of the concept quite well
326,Climate neutral,3. I know the meaning of the concept a little bit
328,Climate neutral,3. I know the meaning of the concept a little bit
331,Climate neutral,3. I know the meaning of the concept a little bit
332,Climate neutral,3. I know the meaning of the concept a little bit
333,Climate neutral,2. I have heard of the concept but no more
335,Climate neutral,4. I know the meaning of the concept quite well
344,Climate neutral,4. I know the meaning of the concept quite well
345,Climate neutral,4. I know the meaning of the concept quite well
349,Climate neutral,5. I have very good knowledge of the concept
351,Climate neutral,3. I know the meaning of the concept a little bit
361,Climate neutral,2. I have heard of the concept but no more
370,Climate neutral,1. I have never heard of the term at all
374,Climate neutral,4. I know the meaning of the concept quite well
385,Climate neutral,4. I know the meaning of the concept quite well
386,Climate neutral,4. I know the meaning of the concept quite well
389,Climate neutral,3. I know the meaning of the concept a little bit
394,Climate neutral,5. I have very good knowledge of the concept
398,Climate neutral,4. I know the meaning of the concept quite well
410,Climate neutral,5. I have very good knowledge of the concept
411,Climate neutral,3. I know the meaning of the concept a little bit
415,Climate neutral,5. I have very good knowledge of the concept
419,Climate neutral,4. I know the meaning of the concept quite well
423,Climate neutral,2. I have heard of the concept but no more
424,Climate neutral,2. I have heard of the concept but no more
433,Climate neutral,3. I know the meaning of the concept a little bit
434,Climate neutral,4. I know the meaning of the concept quite well
439,Climate neutral,3. I know the meaning of the concept a little bit
443,Climate neutral,3. I know the meaning of the concept a little bit
449,Climate neutral,4. I know the meaning of the concept quite well
452,Climate neutral,4. I know the meaning of the concept quite well
456,Climate neutral,2. I have heard of the concept but no more
458,Climate neutral,4. I know the meaning of the concept quite well
460,Climate neutral,4. I know the meaning of the concept quite well
463,Climate neutral,2. I have heard of the concept but no more
476,Climate neutral,4. I know the meaning of the concept quite well
480,Climate neutral,4. I know the meaning of the concept quite well
487,Climate neutral,4. I know the meaning of the concept quite well
488,Climate neutral,3. I know the meaning of the concept a little bit
492,Climate neutral,2. I have heard of the concept but no more
494,Climate neutral,5. I have very good knowledge of the concept
500,Climate neutral,4. I know the meaning of the concept quite well
504,Climate neutral,3. I know the meaning of the concept a little bit
507,Climate neutral,3. I know the meaning of the concept a little bit
513,Climate neutral,2. I have heard of the concept but no more
517,Climate neutral,2. I have heard of the concept but no more
518,Climate neutral,2. I have heard of the concept but no more
526,Climate neutral,2. I have heard of the concept but no more
531,Climate neutral,2. I have heard of the concept but no more
532,Climate neutral,4. I know the meaning of the concept quite well
535,Climate neutral,4. I know the meaning of the concept quite well
541,Climate neutral,3. I know the meaning of the concept a little bit
553,Climate neutral,2. I have heard of the concept but no more
555,Climate neutral,2. I have heard of the concept but no more
557,Climate neutral,3. I know the meaning of the concept a little bit
559,Climate neutral,3. I know the meaning of the concept a little bit
574,Climate neutral,1. I have never heard of the term at all
578,Climate neutral,3. I know the meaning of the concept a little bit
579,Climate neutral,4. I know the meaning of the concept quite well
581,Climate neutral,1. I have never heard of the term at all
584,Climate neutral,2. I have heard of the concept but no more
590,Climate neutral,3. I know the meaning of the concept a little bit
596,Climate neutral,3. I know the meaning of the concept a little bit
597,Climate neutral,2. I have heard of the concept but no more
605,Climate neutral,3. I know the meaning of the concept a little bit
607,Climate neutral,3. I know the meaning of the concept a little bit
610,Climate neutral,5. I have very good knowledge of the concept
612,Climate neutral,2. I have heard of the concept but no more
619,Climate neutral,3. I know the meaning of the concept a little bit
621,Climate neutral,2. I have heard of the concept but no more
623,Climate neutral,2. I have heard of the concept but no more
625,Climate neutral,3. I know the meaning of the concept a little bit
627,Climate neutral,5. I have very good knowledge of the concept
629,Climate neutral,4. I know the meaning of the concept quite well
630,Climate neutral,4. I know the meaning of the concept quite well
631,Climate neutral,4. I know the meaning of the concept quite well
