respondent_id,item,question
326,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
326,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
326,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
326,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
328,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
331,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
332,Campaigns and social media posts,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
333,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
333,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
335,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
335,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
344,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
345,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
345,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
349,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
349,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
349,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
349,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
349,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
349,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
349,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
351,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
351,Campaigns and social media posts,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
351,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
351,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
361,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
361,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
374,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
374,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
374,Other:,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
385,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
385,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
385,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
385,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
386,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
389,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
389,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
394,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
394,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
398,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
398,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
398,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
398,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
398,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
398,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
398,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
410,Other:,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
411,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
415,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
415,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
415,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
415,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
415,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
415,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
415,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
419,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
419,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
423,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
423,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
423,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
424,Campaigns and social media posts,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
424,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
424,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
424,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
424,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
424,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
426,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
426,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
426,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
426,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
433,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
433,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
433,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
433,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
433,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
433,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
433,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
434,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
434,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
434,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
434,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
434,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
434,Other:,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
439,Sustainability activists,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
443,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
443,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
443,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
443,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
449,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
452,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
452,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
452,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
452,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
456,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
456,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
456,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
456,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
456,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
458,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
458,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
458,Celebrities and influencers talking about these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
458,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
460,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
460,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
460,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
463,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
463,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
463,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
463,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
476,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
476,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
476,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
480,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
480,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
487,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
487,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
487,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
487,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
487,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
487,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
488,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
488,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
492,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
494,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
500,Sustainability activists,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
500,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
500,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
500,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
504,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
507,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
507,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
507,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
507,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
507,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
513,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
517,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
517,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
517,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
518,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
518,Campaigns and social media posts,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
526,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
528,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
531,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
532,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
532,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
532,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
532,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
535,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
535,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
535,Other:,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
541,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
541,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
541,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
541,Campaigns and social media posts,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
553,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
555,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
555,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
555,Communication on sustainability from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
555,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
555,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
555,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
555,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
557,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
559,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
559,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
559,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
559,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
559,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
559,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
574,None of the above,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
575,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
575,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
578,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
578,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
578,Politicians and authorities addressing these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
579,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
579,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
579,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
579,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
579,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
579,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
584,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
584,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
590,Sustainable products/services from companies,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
590,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
590,Personal experiences of unsustainable situations (e.g. fires,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
590,drought,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
590,crime,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
590,inequality...),Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
596,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
596,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
596,Knowledge through my education/school,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
597,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
597,Campaigns and social media posts,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
597,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
605,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
607,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
610,Documentaries on specific issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
610,Knowledge of the issues through my work,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
610,Reports from researchers/academia,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
619,Reporting in the news media on these issues,Which of the following sources has most influenced your interest and involvement in sustainability over the past year?
