respondent_id,brand,rating_type,area
268,Best Western,well,None of the above
271,Best Western,well,Reducing the climate impact of the hotel in general
281,Best Western,well,Reducing food waste
281,Best Western,well,Reducing water use in operations
281,Best Western,well,Diversity and inclusion towards guests and employees
281,Best Western,well,Reducing the climate impact of the hotel in general
281,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
281,Best Western,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
287,Best Western,well,None of the above
289,Best Western,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
290,Best Western,well,Reducing the amount of laundry and/or room cleaning
290,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
311,Best Western,well,None of the above
319,Best Western,well,None of the above
329,Best Western,well,None of the above
339,Best Western,well,Reducing the amount of laundry and/or room cleaning
339,Best Western,well,Reducing the climate impact of the hotel in general
350,Best Western,well,Locally produced food & drink
350,Best Western,well,Reducing the amount of laundry and/or room cleaning
352,Best Western,well,Locally produced food & drink
352,Best Western,well,Reducing energy use in hotels
377,Best Western,well,Diversity and inclusion towards guests and employees
377,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
377,Best Western,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
381,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
390,Best Western,well,None of the above
393,Best Western,well,Reducing food waste
393,Best Western,well,Reducing energy use in hotels
393,Best Western,well,Reducing the amount of laundry and/or room cleaning
393,Best Western,well,Practices gender equality towards guests and employees
395,Best Western,well,Reducing the climate impact of the hotel in general
399,Best Western,well,Locally produced food & drink
399,Best Western,well,Reducing food waste
399,Best Western,well,Reducing the amount of laundry and/or room cleaning
399,Best Western,well,Working conditions and employee health
399,Best Western,well,Accessibility for people with disabilities
399,Best Western,well,Diversity and inclusion towards guests and employees
399,Best Western,well,Reducing the climate impact of the hotel in general
399,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
399,Best Western,well,Charging stations for electric cars
405,Best Western,well,None of the above
413,Best Western,well,Reducing the climate impact of the hotel in general
414,Best Western,well,None of the above
427,Best Western,well,None of the above
429,Best Western,well,Wide range of vegetarian food
429,Best Western,well,Accessibility for people with disabilities
429,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
446,Best Western,well,Working conditions and employee health
446,Best Western,well,Accessibility for people with disabilities
446,Best Western,well,Diversity and inclusion towards guests and employees
461,Best Western,well,Wide range of organic food & drink
461,Best Western,well,Reducing the amount of laundry and/or room cleaning
462,Best Western,well,Reducing the climate impact of the hotel in general
468,Best Western,well,Wide range of organic food & drink
468,Best Western,well,Locally produced food & drink
468,Best Western,well,Reducing energy use in hotels
468,Best Western,well,Accessibility for people with disabilities
468,Best Western,well,Making climate-smart travel easy through offerings and information
468,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
475,Best Western,well,None of the above
484,Best Western,well,Locally produced food & drink
495,Best Western,well,Reducing food waste
495,Best Western,well,Reducing the amount of laundry and/or room cleaning
495,Best Western,well,Charging stations for electric cars
497,Best Western,well,Wide range of organic food & drink
497,Best Western,well,Wide range of vegetarian food
497,Best Western,well,Diversity and inclusion towards guests and employees
497,Best Western,well,Practices gender equality towards guests and employees
497,Best Western,well,Avoid single-use plastic and minimizing use of plastic packaging
499,Best Western,well,Working conditions and employee health
499,Best Western,well,Accessibility for people with disabilities
499,Best Western,well,Charging stations for electric cars
509,Best Western,well,Reducing food waste
509,Best Western,well,Reducing the amount of laundry and/or room cleaning
514,Best Western,well,None of the above
516,Best Western,well,Practices gender equality towards guests and employees
523,Best Western,well,Reducing the amount of laundry and/or room cleaning
523,Best Western,well,Accessibility for people with disabilities
537,Best Western,well,None of the above
542,Best Western,well,None of the above
547,Best Western,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
551,Best Western,well,None of the above
552,Best Western,well,Reducing the climate impact of the hotel in general
556,Best Western,well,None of the above
558,Best Western,well,Locally produced food & drink
558,Best Western,well,Biodiversity impacts with respect to land use and the supply chain
558,Best Western,well,Reducing food waste
558,Best Western,well,Reducing water use in operations
558,Best Western,well,Working conditions in the supply chain
558,Best Western,well,Diversity and inclusion towards guests and employees
558,Best Western,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
561,Best Western,well,Reducing the climate impact of the hotel in general
563,Best Western,well,Wide range of organic food & drink
563,Best Western,well,Locally produced food & drink
563,Best Western,well,Diversity and inclusion towards guests and employees
573,Best Western,well,Wide range of organic food & drink
573,Best Western,well,Locally produced food & drink
585,Best Western,well,Reducing the amount of laundry and/or room cleaning
585,Best Western,well,Reducing the climate impact of the hotel in general
591,Best Western,well,Diversity and inclusion towards guests and employees
593,Best Western,well,Reducing the amount of laundry and/or room cleaning
594,Best Western,well,None of the above
643,Best Western,well,Reducing the amount of laundry and/or room cleaning
648,Best Western,well,Reducing the amount of laundry and/or room cleaning
1,Clarion Collection,well,None of the above
7,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
13,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
13,Clarion Collection,well,Diversity and inclusion towards guests and employees
14,Clarion Collection,well,Wide range of organic food & drink
14,Clarion Collection,well,Practices gender equality towards guests and employees
14,Clarion Collection,well,Reducing the climate impact of the hotel in general
14,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
14,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
14,Clarion Collection,well,Charging stations for electric cars
25,Clarion Collection,well,Wide range of organic food & drink
25,Clarion Collection,well,Reducing food waste
25,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
25,Clarion Collection,well,Diversity and inclusion towards guests and employees
25,Clarion Collection,well,Reducing the climate impact of the hotel in general
25,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
26,Clarion Collection,well,Wide range of organic food & drink
26,Clarion Collection,well,Locally produced food & drink
26,Clarion Collection,well,Animal welfare within food & beverage
26,Clarion Collection,well,Reducing food waste
26,Clarion Collection,well,Practices gender equality towards guests and employees
26,Clarion Collection,well,Charging stations for electric cars
34,Clarion Collection,well,Working conditions and employee health
34,Clarion Collection,well,Charging stations for electric cars
46,Clarion Collection,well,Reducing energy use in hotels
46,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
46,Clarion Collection,well,Diversity and inclusion towards guests and employees
46,Clarion Collection,well,Reducing the climate impact of the hotel in general
46,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
51,Clarion Collection,well,Locally produced food & drink
51,Clarion Collection,well,Reducing water use in operations
51,Clarion Collection,well,Reducing the climate impact of the hotel in general
54,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
58,Clarion Collection,well,Reducing energy use in hotels
58,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
86,Clarion Collection,well,None of the above
88,Clarion Collection,well,Reducing food waste
88,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
92,Clarion Collection,well,Wide range of organic food & drink
92,Clarion Collection,well,Working conditions and employee health
92,Clarion Collection,well,Engaging with the local community about sustainability matters
92,Clarion Collection,well,Diversity and inclusion towards guests and employees
92,Clarion Collection,well,Practices gender equality towards guests and employees
96,Clarion Collection,well,Reducing the climate impact of the hotel in general
101,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
106,Clarion Collection,well,Wide range of organic food & drink
106,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
106,Clarion Collection,well,Diversity and inclusion towards guests and employees
106,Clarion Collection,well,Practices gender equality towards guests and employees
115,Clarion Collection,well,Reducing energy use in hotels
115,Clarion Collection,well,Reducing water use in operations
115,Clarion Collection,well,Accessibility for people with disabilities
116,Clarion Collection,well,Locally produced food & drink
116,Clarion Collection,well,Reducing energy use in hotels
116,Clarion Collection,well,Diversity and inclusion towards guests and employees
116,Clarion Collection,well,Making climate-smart travel easy through offerings and information
116,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
116,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
120,Clarion Collection,well,Locally produced food & drink
120,Clarion Collection,well,Reducing energy use in hotels
120,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
120,Clarion Collection,well,Diversity and inclusion towards guests and employees
120,Clarion Collection,well,Reducing the climate impact of the hotel in general
121,Clarion Collection,well,None of the above
123,Clarion Collection,well,Locally produced food & drink
123,Clarion Collection,well,Reducing energy use in hotels
127,Clarion Collection,well,Engaging with the local community about sustainability matters
127,Clarion Collection,well,Charging stations for electric cars
130,Clarion Collection,well,Wide range of organic food & drink
130,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
130,Clarion Collection,well,Diversity and inclusion towards guests and employees
130,Clarion Collection,well,Practices gender equality towards guests and employees
130,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
132,Clarion Collection,well,Working conditions in the supply chain
132,Clarion Collection,well,Practices gender equality towards guests and employees
135,Clarion Collection,well,None of the above
143,Clarion Collection,well,Locally produced food & drink
143,Clarion Collection,well,Reducing food waste
143,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
147,Clarion Collection,well,Reducing food waste
147,Clarion Collection,well,Reducing energy use in hotels
147,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
147,Clarion Collection,well,Reducing water use in operations
148,Clarion Collection,well,Locally produced food & drink
148,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
148,Clarion Collection,well,Reducing the climate impact of the hotel in general
148,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
150,Clarion Collection,well,Reducing food waste
150,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
150,Clarion Collection,well,Practices gender equality towards guests and employees
161,Clarion Collection,well,Wide range of organic food & drink
161,Clarion Collection,well,Locally produced food & drink
161,Clarion Collection,well,Reducing food waste
161,Clarion Collection,well,Reducing the climate impact of the hotel in general
161,Clarion Collection,well,Charging stations for electric cars
170,Clarion Collection,well,Diversity and inclusion towards guests and employees
170,Clarion Collection,well,Reducing the climate impact of the hotel in general
170,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
172,Clarion Collection,well,Reducing the climate impact of the hotel in general
172,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
174,Clarion Collection,well,Reducing energy use in hotels
174,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
174,Clarion Collection,well,Diversity and inclusion towards guests and employees
177,Clarion Collection,well,Wide range of organic food & drink
177,Clarion Collection,well,Reducing food waste
177,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
177,Clarion Collection,well,Reducing the climate impact of the hotel in general
182,Clarion Collection,well,Reducing energy use in hotels
182,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
182,Clarion Collection,well,Accessibility for people with disabilities
184,Clarion Collection,well,Wide range of vegetarian food
184,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
184,Clarion Collection,well,Reducing water use in operations
184,Clarion Collection,well,Accessibility for people with disabilities
184,Clarion Collection,well,Engaging with the local community about sustainability matters
184,Clarion Collection,well,Diversity and inclusion towards guests and employees
184,Clarion Collection,well,Practices gender equality towards guests and employees
184,Clarion Collection,well,Reducing the climate impact of the hotel in general
184,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
185,Clarion Collection,well,Reducing food waste
185,Clarion Collection,well,Reducing energy use in hotels
185,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
186,Clarion Collection,well,Reducing food waste
186,Clarion Collection,well,Reducing energy use in hotels
186,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
186,Clarion Collection,well,Diversity and inclusion towards guests and employees
186,Clarion Collection,well,Practices gender equality towards guests and employees
186,Clarion Collection,well,Reducing the climate impact of the hotel in general
186,Clarion Collection,well,Charging stations for electric cars
195,Clarion Collection,well,Reducing the climate impact of the hotel in general
199,Clarion Collection,well,Reducing energy use in hotels
199,Clarion Collection,well,Diversity and inclusion towards guests and employees
199,Clarion Collection,well,Practices gender equality towards guests and employees
203,Clarion Collection,well,Reducing the climate impact of the hotel in general
209,Clarion Collection,well,Reducing food waste
209,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
209,Clarion Collection,well,Working conditions and employee health
209,Clarion Collection,well,Diversity and inclusion towards guests and employees
209,Clarion Collection,well,Practices gender equality towards guests and employees
209,Clarion Collection,well,Making climate-smart travel easy through offerings and information
210,Clarion Collection,well,Locally produced food & drink
210,Clarion Collection,well,Biodiversity impacts with respect to land use and the supply chain
210,Clarion Collection,well,Reducing food waste
210,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
210,Clarion Collection,well,Working conditions and employee health
210,Clarion Collection,well,Accessibility for people with disabilities
210,Clarion Collection,well,Diversity and inclusion towards guests and employees
210,Clarion Collection,well,Practices gender equality towards guests and employees
210,Clarion Collection,well,Reducing the climate impact of the hotel in general
210,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
217,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
236,Clarion Collection,well,Reducing food waste
236,Clarion Collection,well,Reducing energy use in hotels
236,Clarion Collection,well,Diversity and inclusion towards guests and employees
236,Clarion Collection,well,Reducing the climate impact of the hotel in general
238,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
238,Clarion Collection,well,Accessibility for people with disabilities
238,Clarion Collection,well,Charging stations for electric cars
241,Clarion Collection,well,Wide range of organic food & drink
241,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
241,Clarion Collection,well,Reducing water use in operations
247,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
247,Clarion Collection,well,Reducing water use in operations
266,Clarion Collection,well,Reducing energy use in hotels
271,Clarion Collection,well,Wide range of organic food & drink
274,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
274,Clarion Collection,well,Diversity and inclusion towards guests and employees
274,Clarion Collection,well,Reducing the climate impact of the hotel in general
274,Clarion Collection,well,Charging stations for electric cars
279,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
279,Clarion Collection,well,Reducing the climate impact of the hotel in general
279,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
279,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
279,Clarion Collection,well,Charging stations for electric cars
281,Clarion Collection,well,Wide range of organic food & drink
281,Clarion Collection,well,Reducing food waste
281,Clarion Collection,well,Reducing energy use in hotels
281,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
281,Clarion Collection,well,Reducing water use in operations
281,Clarion Collection,well,Diversity and inclusion towards guests and employees
281,Clarion Collection,well,Reducing the climate impact of the hotel in general
281,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
286,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
286,Clarion Collection,well,Diversity and inclusion towards guests and employees
287,Clarion Collection,well,Wide range of organic food & drink
287,Clarion Collection,well,Locally produced food & drink
287,Clarion Collection,well,Wide range of vegetarian food
287,Clarion Collection,well,Reducing food waste
287,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
287,Clarion Collection,well,Accessibility for people with disabilities
287,Clarion Collection,well,Engaging with the local community about sustainability matters
287,Clarion Collection,well,Diversity and inclusion towards guests and employees
287,Clarion Collection,well,Practices gender equality towards guests and employees
287,Clarion Collection,well,Reducing the climate impact of the hotel in general
289,Clarion Collection,well,Reducing energy use in hotels
290,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
290,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
311,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
314,Clarion Collection,well,Wide range of organic food & drink
314,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
314,Clarion Collection,well,Charging stations for electric cars
329,Clarion Collection,well,Wide range of vegetarian food
329,Clarion Collection,well,Reducing food waste
329,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
336,Clarion Collection,well,Wide range of organic food & drink
336,Clarion Collection,well,Reducing food waste
346,Clarion Collection,well,Wide range of organic food & drink
350,Clarion Collection,well,None of the above
352,Clarion Collection,well,Reducing water use in operations
352,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
352,Clarion Collection,well,Charging stations for electric cars
362,Clarion Collection,well,Locally produced food & drink
362,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
362,Clarion Collection,well,Practices gender equality towards guests and employees
363,Clarion Collection,well,Locally produced food & drink
363,Clarion Collection,well,Reducing food waste
363,Clarion Collection,well,Reducing energy use in hotels
363,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
363,Clarion Collection,well,Reducing water use in operations
363,Clarion Collection,well,Diversity and inclusion towards guests and employees
363,Clarion Collection,well,Reducing the climate impact of the hotel in general
363,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
365,Clarion Collection,well,Wide range of vegetarian food
377,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
381,Clarion Collection,well,Locally produced food & drink
381,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
381,Clarion Collection,well,Reducing the climate impact of the hotel in general
395,Clarion Collection,well,Reducing energy use in hotels
399,Clarion Collection,well,Reducing food waste
399,Clarion Collection,well,Practices gender equality towards guests and employees
399,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
399,Clarion Collection,well,Charging stations for electric cars
400,Clarion Collection,well,Reducing energy use in hotels
400,Clarion Collection,well,Reducing the climate impact of the hotel in general
400,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
400,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
405,Clarion Collection,well,None of the above
406,Clarion Collection,well,Wide range of organic food & drink
406,Clarion Collection,well,Locally produced food & drink
406,Clarion Collection,well,Reducing food waste
406,Clarion Collection,well,Accessibility for people with disabilities
406,Clarion Collection,well,Diversity and inclusion towards guests and employees
413,Clarion Collection,well,Reducing the climate impact of the hotel in general
414,Clarion Collection,well,Wide range of organic food & drink
414,Clarion Collection,well,Locally produced food & drink
414,Clarion Collection,well,Reducing food waste
414,Clarion Collection,well,Reducing energy use in hotels
414,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
414,Clarion Collection,well,Reducing water use in operations
414,Clarion Collection,well,Working conditions and employee health
414,Clarion Collection,well,Diversity and inclusion towards guests and employees
414,Clarion Collection,well,Reducing the climate impact of the hotel in general
414,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
414,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
414,Clarion Collection,well,Charging stations for electric cars
427,Clarion Collection,well,None of the above
429,Clarion Collection,well,Animal welfare within food & beverage
429,Clarion Collection,well,Charging stations for electric cars
440,Clarion Collection,well,Reducing energy use in hotels
440,Clarion Collection,well,Reducing the climate impact of the hotel in general
446,Clarion Collection,well,Diversity and inclusion towards guests and employees
455,Clarion Collection,well,Wide range of organic food & drink
455,Clarion Collection,well,Locally produced food & drink
455,Clarion Collection,well,Accessibility for people with disabilities
455,Clarion Collection,well,Engaging with the local community about sustainability matters
455,Clarion Collection,well,Reducing the climate impact of the hotel in general
455,Clarion Collection,well,Making climate-smart travel easy through offerings and information
455,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
457,Clarion Collection,well,Reducing food waste
457,Clarion Collection,well,Reducing the climate impact of the hotel in general
461,Clarion Collection,well,Locally produced food & drink
461,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
461,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
462,Clarion Collection,well,Reducing energy use in hotels
462,Clarion Collection,well,Accessibility for people with disabilities
462,Clarion Collection,well,Practices gender equality towards guests and employees
462,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
466,Clarion Collection,well,Wide range of organic food & drink
466,Clarion Collection,well,Reducing food waste
466,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
466,Clarion Collection,well,Diversity and inclusion towards guests and employees
466,Clarion Collection,well,Reducing the climate impact of the hotel in general
467,Clarion Collection,well,Locally produced food & drink
467,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
467,Clarion Collection,well,Working conditions and employee health
467,Clarion Collection,well,Accessibility for people with disabilities
467,Clarion Collection,well,Engaging with the local community about sustainability matters
468,Clarion Collection,well,Wide range of organic food & drink
468,Clarion Collection,well,Wide range of vegetarian food
468,Clarion Collection,well,Reducing food waste
468,Clarion Collection,well,Reducing energy use in hotels
468,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
468,Clarion Collection,well,Accessibility for people with disabilities
468,Clarion Collection,well,Engaging with the local community about sustainability matters
468,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
473,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
475,Clarion Collection,well,Animal welfare within food & beverage
475,Clarion Collection,well,Reducing food waste
475,Clarion Collection,well,Reducing energy use in hotels
475,Clarion Collection,well,Working conditions and employee health
475,Clarion Collection,well,Accessibility for people with disabilities
475,Clarion Collection,well,Diversity and inclusion towards guests and employees
475,Clarion Collection,well,Reducing the climate impact of the hotel in general
475,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
475,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
482,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
482,Clarion Collection,well,Reducing the climate impact of the hotel in general
482,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
483,Clarion Collection,well,Working conditions and employee health
484,Clarion Collection,well,Reducing food waste
484,Clarion Collection,well,Reducing energy use in hotels
484,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
489,Clarion Collection,well,Reducing food waste
489,Clarion Collection,well,Reducing energy use in hotels
489,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
489,Clarion Collection,well,Reducing the climate impact of the hotel in general
491,Clarion Collection,well,Locally produced food & drink
491,Clarion Collection,well,Reducing food waste
491,Clarion Collection,well,Working conditions in the supply chain
491,Clarion Collection,well,Engaging with the local community about sustainability matters
491,Clarion Collection,well,Diversity and inclusion towards guests and employees
491,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
495,Clarion Collection,well,Accessibility for people with disabilities
495,Clarion Collection,well,Diversity and inclusion towards guests and employees
495,Clarion Collection,well,Practices gender equality towards guests and employees
495,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
495,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
505,Clarion Collection,well,Accessibility for people with disabilities
505,Clarion Collection,well,Diversity and inclusion towards guests and employees
509,Clarion Collection,well,Locally produced food & drink
509,Clarion Collection,well,Reducing energy use in hotels
509,Clarion Collection,well,Reducing the climate impact of the hotel in general
514,Clarion Collection,well,Wide range of organic food & drink
514,Clarion Collection,well,Locally produced food & drink
514,Clarion Collection,well,Biodiversity impacts with respect to land use and the supply chain
514,Clarion Collection,well,Working conditions and employee health
514,Clarion Collection,well,Working conditions in the supply chain
514,Clarion Collection,well,Diversity and inclusion towards guests and employees
514,Clarion Collection,well,Practices gender equality towards guests and employees
514,Clarion Collection,well,Reducing the climate impact of the hotel in general
514,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
516,Clarion Collection,well,None of the above
522,Clarion Collection,well,Avoid single-use plastic and minimizing use of plastic packaging
522,Clarion Collection,well,Charging stations for electric cars
523,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
523,Clarion Collection,well,Accessibility for people with disabilities
536,Clarion Collection,well,Wide range of vegetarian food
536,Clarion Collection,well,Reducing the amount of laundry and/or room cleaning
537,Clarion Collection,well,Reducing food waste
537,Clarion Collection,well,Working conditions in the supply chain
537,Clarion Collection,well,Engaging with the local community about sustainability matters
537,Clarion Collection,well,Reducing the climate impact of the hotel in general
537,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
542,Clarion Collection,well,Reducing the climate impact of the hotel in general
547,Clarion Collection,well,Reducing energy use in hotels
547,Clarion Collection,well,Accessibility for people with disabilities
550,Clarion Collection,well,Wide range of organic food & drink
550,Clarion Collection,well,Reducing food waste
550,Clarion Collection,well,Reducing water use in operations
550,Clarion Collection,well,Eco-labelled hotels (e.g. Nordic Ecolabelling)
551,Clarion Collection,well,Wide range of organic food & drink
