respondent_id,topic
42,Energy issues / energy efficiency
42,Wars and conflicts in the world
42,Polarisation of opinions in society
42,The country's economy
42,Democracy
43,Climate change
43,Biodiversity - animals
43,plants & ecosystems
43,Air & water pollution
43,Wars and conflicts in the world
43,Diversity
43,anti-racism & inclusive societies
43,Gender equality & feminism
44,Climate change
44,Gender equality & feminism
44,The country's economy
44,Democracy
44,Safe societies
44,Other:
45,Public health & well-being - people's physical and mental health / ill-health
45,Other:
46,Climate change
46,Air & water pollution
46,Circular economy - recycling & reuse of materials
46,Sustainable transport
46,Energy issues / energy efficiency
46,Wars and conflicts in the world
46,Ethical issues (e.g. corruption)
46,Charitable giving
46,Diversity
46,anti-racism & inclusive societies
46,Gender equality & feminism
46,Human rights
46,poverty and hunger in the world
46,Polarisation of opinions in society
46,Public health & well-being - people's physical and mental health / ill-health
46,The country's economy
46,Democracy
46,Safe societies
47,Climate change
47,Public health & well-being - people's physical and mental health / ill-health
48,Climate change
48,Circular economy - recycling & reuse of materials
48,Wars and conflicts in the world
48,Human rights
48,poverty and hunger in the world
48,Public health & well-being - people's physical and mental health / ill-health
48,The country's economy
48,Safe societies
49,Energy issues / energy efficiency
49,Wars and conflicts in the world
49,Ethical issues (e.g. corruption)
49,Diversity
49,anti-racism & inclusive societies
49,Polarisation of opinions in society
49,The country's economy
49,Democracy
49,Safe societies
50,Sustainable finance
50,Wars and conflicts in the world
50,Public health & well-being - people's physical and mental health / ill-health
50,Safe societies
51,Biodiversity - animals
51,plants & ecosystems
51,Air & water pollution
51,Labour conditions and opportunities in Sweden
51,Sustainable transport
51,Energy issues / energy efficiency
51,Sustainable finance
51,Sustainable agriculture & food production
51,Animal health & welfare
51,Safe societies
52,Energy issues / energy efficiency
52,Safe societies
53,Climate change
53,Circular economy - recycling & reuse of materials
53,Sustainable transport
53,Sustainable finance
53,Sustainable agriculture & food production
53,Wars and conflicts in the world
53,Animal health & welfare
53,Labour conditions for suppliers / in the value chain abroad
53,Ethical issues (e.g. corruption)
53,Diversity
53,anti-racism & inclusive societies
53,Gender equality & feminism
53,Human rights
53,poverty and hunger in the world
53,Public health & well-being - people's physical and mental health / ill-health
53,Democracy
54,Climate change
54,Air & water pollution
54,Labour conditions and opportunities in Sweden
54,Wars and conflicts in the world
54,Ethical issues (e.g. corruption)
54,Diversity
54,anti-racism & inclusive societies
54,Gender equality & feminism
54,Human rights
54,poverty and hunger in the world
54,Public health & well-being - people's physical and mental health / ill-health
54,The country's economy
54,Democracy
55,Climate change
55,Labour conditions and opportunities in Sweden
55,Circular economy - recycling & reuse of materials
55,Energy issues / energy efficiency
55,Ethical issues (e.g. corruption)
55,Gender equality & feminism
55,Polarisation of opinions in society
56,Circular economy - recycling & reuse of materials
56,Energy issues / energy efficiency
56,Wars and conflicts in the world
56,The country's economy
56,Democracy
56,Safe societies
57,Sustainable transport
57,Labour conditions for suppliers / in the value chain abroad
57,Ethical issues (e.g. corruption)
57,Public health & well-being - people's physical and mental health / ill-health
57,Safe societies
58,Energy issues / energy efficiency
58,Wars and conflicts in the world
59,Air & water pollution
59,Sustainable transport
59,Energy issues / energy efficiency
59,Sustainable agriculture & food production
59,Wars and conflicts in the world
59,Ethical issues (e.g. corruption)
59,Gender equality & feminism
59,Polarisation of opinions in society
59,Public health & well-being - people's physical and mental health / ill-health
59,The country's economy
59,Democracy
59,Safe societies
61,Air & water pollution
61,Sustainable transport
61,Sustainable agriculture & food production
62,Climate change
62,Biodiversity - animals
62,plants & ecosystems
62,Circular economy - recycling & reuse of materials
62,Energy issues / energy efficiency
62,Sustainable finance
62,Wars and conflicts in the world
62,Labour conditions for suppliers / in the value chain abroad
62,Ethical issues (e.g. corruption)
62,Diversity
62,anti-racism & inclusive societies
62,Human rights
62,poverty and hunger in the world
62,Public health & well-being - people's physical and mental health / ill-health
63,Public health & well-being - people's physical and mental health / ill-health
64,Labour conditions and opportunities in Sweden
64,Wars and conflicts in the world
65,Climate change
65,Biodiversity - animals
65,plants & ecosystems
65,Air & water pollution
65,Labour conditions and opportunities in Sweden
65,Circular economy - recycling & reuse of materials
65,Sustainable transport
65,Energy issues / energy efficiency
65,Sustainable finance
65,Sustainable agriculture & food production
65,Wars and conflicts in the world
65,Animal health & welfare
65,Labour conditions for suppliers / in the value chain abroad
65,Ethical issues (e.g. corruption)
65,Charitable giving
65,Diversity
65,anti-racism & inclusive societies
65,Gender equality & feminism
65,Human rights
65,poverty and hunger in the world
65,Polarisation of opinions in society
65,Public health & well-being - people's physical and mental health / ill-health
65,The country's economy
65,Democracy
65,Safe societies
66,Wars and conflicts in the world
66,Polarisation of opinions in society
66,Democracy
67,Wars and conflicts in the world
67,The country's economy
67,Democracy
67,Safe societies
68,Labour conditions and opportunities in Sweden
68,The country's economy
68,Safe societies
69,Labour conditions and opportunities in Sweden
69,Energy issues / energy efficiency
69,Wars and conflicts in the world
69,Public health & well-being - people's physical and mental health / ill-health
69,The country's economy
70,Climate change
70,Circular economy - recycling & reuse of materials
70,Sustainable transport
70,Energy issues / energy efficiency
70,Wars and conflicts in the world
70,Ethical issues (e.g. corruption)
70,Charitable giving
70,Diversity
70,anti-racism & inclusive societies
70,Gender equality & feminism
70,Human rights
70,poverty and hunger in the world
70,Polarisation of opinions in society
70,Public health & well-being - people's physical and mental health / ill-health
70,Safe societies
71,Climate change
71,Labour conditions and opportunities in Sweden
71,Circular economy - recycling & reuse of materials
71,Energy issues / energy efficiency
71,Wars and conflicts in the world
71,Animal health & welfare
71,Labour conditions for suppliers / in the value chain abroad
71,Ethical issues (e.g. corruption)
71,Charitable giving
71,Human rights
71,poverty and hunger in the world
71,Polarisation of opinions in society
71,Public health & well-being - people's physical and mental health / ill-health
71,The country's economy
71,Democracy
71,Safe societies
72,Energy issues / energy efficiency
72,Sustainable finance
72,Animal health & welfare
72,The country's economy
73,Climate change
73,Air & water pollution
73,Energy issues / energy efficiency
73,Sustainable agriculture & food production
73,Wars and conflicts in the world
73,Ethical issues (e.g. corruption)
73,Gender equality & feminism
73,Democracy
73,Safe societies
74,Climate change
74,Biodiversity - animals
74,plants & ecosystems
74,Air & water pollution
74,Sustainable transport
74,Energy issues / energy efficiency
74,Sustainable finance
74,Wars and conflicts in the world
74,Human rights
74,poverty and hunger in the world
74,Democracy
75,Climate change
75,Biodiversity - animals
75,plants & ecosystems
75,Circular economy - recycling & reuse of materials
75,Sustainable transport
75,Energy issues / energy efficiency
75,Sustainable finance
75,Wars and conflicts in the world
75,Diversity
75,anti-racism & inclusive societies
75,Gender equality & feminism
75,Human rights
75,poverty and hunger in the world
75,Public health & well-being - people's physical and mental health / ill-health
75,The country's economy
75,Democracy
76,Climate change
76,Energy issues / energy efficiency
76,Sustainable agriculture & food production
76,Wars and conflicts in the world
76,Human rights
76,poverty and hunger in the world
76,The country's economy
76,Democracy
77,Sustainable agriculture & food production
77,Wars and conflicts in the world
77,Polarisation of opinions in society
77,The country's economy
77,Democracy
77,Safe societies
78,Climate change
78,Air & water pollution
78,Energy issues / energy efficiency
78,Wars and conflicts in the world
78,Animal health & welfare
78,Charitable giving
78,Public health & well-being - people's physical and mental health / ill-health
78,The country's economy
79,Climate change
79,Air & water pollution
79,Labour conditions and opportunities in Sweden
79,Circular economy - recycling & reuse of materials
79,Wars and conflicts in the world
79,Animal health & welfare
79,Gender equality & feminism
79,Polarisation of opinions in society
79,Safe societies
80,Climate change
80,Biodiversity - animals
80,plants & ecosystems
80,Air & water pollution
80,Labour conditions and opportunities in Sweden
80,Sustainable transport
80,Energy issues / energy efficiency
80,Sustainable finance
80,Sustainable agriculture & food production
80,Wars and conflicts in the world
80,Animal health & welfare
80,Ethical issues (e.g. corruption)
80,Charitable giving
80,Diversity
80,anti-racism & inclusive societies
80,Polarisation of opinions in society
80,Public health & well-being - people's physical and mental health / ill-health
80,The country's economy
80,Democracy
80,Safe societies
81,Climate change
81,Labour conditions and opportunities in Sweden
81,Circular economy - recycling & reuse of materials
81,Sustainable transport
81,Energy issues / energy efficiency
81,Sustainable finance
81,Sustainable agriculture & food production
81,Labour conditions for suppliers / in the value chain abroad
81,Ethical issues (e.g. corruption)
81,Charitable giving
81,Diversity
81,anti-racism & inclusive societies
81,Public health & well-being - people's physical and mental health / ill-health
81,Democracy
81,Safe societies
82,Wars and conflicts in the world
82,Polarisation of opinions in society
83,Circular economy - recycling & reuse of materials
83,Energy issues / energy efficiency
83,Wars and conflicts in the world
83,Diversity
83,anti-racism & inclusive societies
83,Polarisation of opinions in society
83,The country's economy
83,Safe societies
84,Climate change
84,Labour conditions and opportunities in Sweden
84,Wars and conflicts in the world
84,Human rights
84,poverty and hunger in the world
84,Public health & well-being - people's physical and mental health / ill-health
84,Democracy
85,Biodiversity - animals
85,plants & ecosystems
85,Sustainable agriculture & food production
85,Wars and conflicts in the world
85,The country's economy
86,Climate change
86,Air & water pollution
86,Sustainable transport
86,Wars and conflicts in the world
87,Climate change
87,Energy issues / energy efficiency
87,Sustainable agriculture & food production
87,Wars and conflicts in the world
87,Ethical issues (e.g. corruption)
87,Democracy
88,Climate change
88,Labour conditions and opportunities in Sweden
88,Circular economy - recycling & reuse of materials
88,Sustainable transport
88,Energy issues / energy efficiency
88,Sustainable agriculture & food production
88,Wars and conflicts in the world
88,Polarisation of opinions in society
88,Democracy
88,Safe societies
89,Air & water pollution
89,Energy issues / energy efficiency
89,Sustainable agriculture & food production
89,Wars and conflicts in the world
89,Animal health & welfare
89,Labour conditions for suppliers / in the value chain abroad
89,Ethical issues (e.g. corruption)
89,The country's economy
90,Climate change
90,Energy issues / energy efficiency
90,Wars and conflicts in the world
90,Democracy
91,Climate change
91,Circular economy - recycling & reuse of materials
91,Diversity
91,anti-racism & inclusive societies
91,Gender equality & feminism
91,Human rights
91,poverty and hunger in the world
92,Circular economy - recycling & reuse of materials
92,Sustainable transport
92,Sustainable finance
92,Ethical issues (e.g. corruption)
92,Human rights
92,poverty and hunger in the world
92,Public health & well-being - people's physical and mental health / ill-health
92,Safe societies
93,Labour conditions and opportunities in Sweden
93,Circular economy - recycling & reuse of materials
93,Energy issues / energy efficiency
93,Animal health & welfare
93,Gender equality & feminism
93,Polarisation of opinions in society
93,Safe societies
94,Climate change
95,Biodiversity - animals
95,plants & ecosystems
95,Labour conditions and opportunities in Sweden
95,Wars and conflicts in the world
95,Animal health & welfare
95,Ethical issues (e.g. corruption)
95,Diversity
95,anti-racism & inclusive societies
95,Gender equality & feminism
95,Human rights
95,poverty and hunger in the world
95,Polarisation of opinions in society
95,Public health & well-being - people's physical and mental health / ill-health
95,Safe societies
96,Climate change
96,Circular economy - recycling & reuse of materials
96,Sustainable finance
96,Wars and conflicts in the world
96,Charitable giving
96,Diversity
96,anti-racism & inclusive societies
96,Gender equality & feminism
96,Human rights
96,poverty and hunger in the world
96,Polarisation of opinions in society
96,Public health & well-being - people's physical and mental health / ill-health
96,The country's economy
96,Democracy
97,Energy issues / energy efficiency
97,Wars and conflicts in the world
97,Diversity
97,anti-racism & inclusive societies
97,Public health & well-being - people's physical and mental health / ill-health
97,The country's economy
97,Safe societies
98,Air & water pollution
98,Safe societies
99,Climate change
99,Biodiversity - animals
99,plants & ecosystems
99,Air & water pollution
99,Sustainable agriculture & food production
99,Wars and conflicts in the world
99,Labour conditions for suppliers / in the value chain abroad
100,Climate change
100,Air & water pollution
100,Circular economy - recycling & reuse of materials
100,Sustainable transport
100,Energy issues / energy efficiency
100,Sustainable agriculture & food production
100,Wars and conflicts in the world
100,Animal health & welfare
100,Labour conditions for suppliers / in the value chain abroad
100,Ethical issues (e.g. corruption)
100,Gender equality & feminism
100,Human rights
100,poverty and hunger in the world
100,Polarisation of opinions in society
100,Public health & well-being - people's physical and mental health / ill-health
100,The country's economy
100,Democracy
100,Safe societies
101,Climate change
101,Biodiversity - animals
101,plants & ecosystems
101,Circular economy - recycling & reuse of materials
101,Sustainable transport
101,Sustainable agriculture & food production
101,Wars and conflicts in the world
101,Animal health & welfare
101,Ethical issues (e.g. corruption)
101,Diversity
101,anti-racism & inclusive societies
101,Gender equality & feminism
101,Human rights
101,poverty and hunger in the world
101,Polarisation of opinions in society
101,Public health & well-being - people's physical and mental health / ill-health
101,Democracy
101,Safe societies
102,Climate change
102,Biodiversity - animals
102,plants & ecosystems
102,Air & water pollution
102,Circular economy - recycling & reuse of materials
102,Sustainable transport
102,Sustainable agriculture & food production
102,Wars and conflicts in the world
102,Animal health & welfare
102,Labour conditions for suppliers / in the value chain abroad
102,Ethical issues (e.g. corruption)
102,Human rights
102,poverty and hunger in the world
102,Democracy
102,Safe societies
103,Climate change
103,Wars and conflicts in the world
103,Human rights
103,poverty and hunger in the world
103,Public health & well-being - people's physical and mental health / ill-health
104,Wars and conflicts in the world
104,The country's economy
104,Democracy
104,Safe societies
105,Climate change
105,Labour conditions and opportunities in Sweden
105,Circular economy - recycling & reuse of materials
105,Sustainable transport
105,Energy issues / energy efficiency
105,Animal health & welfare
105,Labour conditions for suppliers / in the value chain abroad
105,Ethical issues (e.g. corruption)
105,Diversity
105,anti-racism & inclusive societies
105,Gender equality & feminism
105,Democracy
106,Air & water pollution
106,Energy issues / energy efficiency
106,Sustainable finance
106,Wars and conflicts in the world
106,Human rights
106,poverty and hunger in the world
106,Public health & well-being - people's physical and mental health / ill-health
106,The country's economy
106,Safe societies
107,Climate change
107,Biodiversity - animals
107,plants & ecosystems
107,Air & water pollution
107,Circular economy - recycling & reuse of materials
107,Wars and conflicts in the world
107,Charitable giving
107,Diversity
107,anti-racism & inclusive societies
107,Human rights
107,poverty and hunger in the world
107,Public health & well-being - people's physical and mental health / ill-health
107,Safe societies
108,Climate change
108,Biodiversity - animals
108,plants & ecosystems
108,Air & water pollution
108,Circular economy - recycling & reuse of materials
108,Sustainable transport
108,Sustainable agriculture & food production
108,Animal health & welfare
108,Labour conditions for suppliers / in the value chain abroad
108,Ethical issues (e.g. corruption)
108,Diversity
108,anti-racism & inclusive societies
108,Human rights
108,poverty and hunger in the world
108,Public health & well-being - people's physical and mental health / ill-health
108,Democracy
109,Climate change
109,Charitable giving
110,Climate change
110,Biodiversity - animals
110,plants & ecosystems
110,Air & water pollution
110,Labour conditions and opportunities in Sweden
110,Circular economy - recycling & reuse of materials
110,Sustainable transport
110,Energy issues / energy efficiency
110,Wars and conflicts in the world
110,Animal health & welfare
110,Ethical issues (e.g. corruption)
110,Gender equality & feminism
110,Human rights
110,poverty and hunger in the world
110,Public health & well-being - people's physical and mental health / ill-health
110,Safe societies
111,Climate change
111,Biodiversity - animals
111,plants & ecosystems
111,Air & water pollution
111,Circular economy - recycling & reuse of materials
111,Energy issues / energy efficiency
111,Sustainable finance
111,Sustainable agriculture & food production
111,Wars and conflicts in the world
111,Animal health & welfare
111,Ethical issues (e.g. corruption)
111,Charitable giving
111,Diversity
111,anti-racism & inclusive societies
111,Human rights
111,poverty and hunger in the world
111,Polarisation of opinions in society
111,Public health & well-being - people's physical and mental health / ill-health
111,The country's economy
111,Democracy
111,Other:
112,Climate change
112,Biodiversity - animals
112,plants & ecosystems
112,Air & water pollution
112,Labour conditions and opportunities in Sweden
112,Circular economy - recycling & reuse of materials
112,Energy issues / energy efficiency
112,Sustainable finance
112,Wars and conflicts in the world
112,Labour conditions for suppliers / in the value chain abroad
112,Ethical issues (e.g. corruption)
112,Polarisation of opinions in society
112,Public health & well-being - people's physical and mental health / ill-health
112,The country's economy
112,Democracy
112,Safe societies
113,Climate change
113,The country's economy
113,Democracy
113,Safe societies
114,Energy issues / energy efficiency
114,Sustainable agriculture & food production
114,Animal health & welfare
114,Diversity
114,anti-racism & inclusive societies
114,Public health & well-being - people's physical and mental health / ill-health
115,Climate change
115,Labour conditions and opportunities in Sweden
115,Sustainable transport
115,Energy issues / energy efficiency
115,Sustainable finance
115,Wars and conflicts in the world
115,Labour conditions for suppliers / in the value chain abroad
115,Ethical issues (e.g. corruption)
115,Diversity
115,anti-racism & inclusive societies
115,Gender equality & feminism
115,Human rights
115,poverty and hunger in the world
115,Polarisation of opinions in society
115,The country's economy
115,Democracy
115,Safe societies
115,Other:
116,Climate change
116,Wars and conflicts in the world
116,Ethical issues (e.g. corruption)
116,Human rights
116,poverty and hunger in the world
116,Public health & well-being - people's physical and mental health / ill-health
116,Safe societies
117,Climate change
117,Biodiversity - animals
117,plants & ecosystems
117,Labour conditions and opportunities in Sweden
117,Sustainable transport
117,Sustainable finance
117,Wars and conflicts in the world
117,Gender equality & feminism
117,Polarisation of opinions in society
117,Public health & well-being - people's physical and mental health / ill-health
117,The country's economy
117,Democracy
118,Wars and conflicts in the world
118,Ethical issues (e.g. corruption)
118,Safe societies
119,Climate change
119,Biodiversity - animals
119,plants & ecosystems
119,Labour conditions and opportunities in Sweden
119,Circular economy - recycling & reuse of materials
119,Sustainable transport
119,Energy issues / energy efficiency
119,Sustainable finance
119,Sustainable agriculture & food production
119,Wars and conflicts in the world
119,Labour conditions for suppliers / in the value chain abroad
119,Diversity
119,anti-racism & inclusive societies
119,Public health & well-being - people's physical and mental health / ill-health
119,The country's economy
119,Democracy
119,Safe societies
120,Climate change
120,Circular economy - recycling & reuse of materials
120,Sustainable transport
120,Energy issues / energy efficiency
120,Sustainable agriculture & food production
120,Wars and conflicts in the world
120,Labour conditions for suppliers / in the value chain abroad
120,Charitable giving
120,Polarisation of opinions in society
120,Public health & well-being - people's physical and mental health / ill-health
120,The country's economy
121,Biodiversity - animals
121,plants & ecosystems
121,Air & water pollution
121,Labour conditions and opportunities in Sweden
121,Circular economy - recycling & reuse of materials
121,Sustainable agriculture & food production
