respondent_id,brand,perception_type,perception
170,Clarion Collection,general,4. Fairly positive perception
172,Clarion Collection,general,5. Very positive perception
173,Clarion Collection,general,4. Fairly positive perception
174,Clarion Collection,general,4. Fairly positive perception
177,Clarion Collection,general,5. Very positive perception
179,Clarion Collection,general,5. Very positive perception
181,Clarion Collection,general,4. Fairly positive perception
182,Clarion Collection,general,4. Fairly positive perception
184,Clarion Collection,general,5. Very positive perception
185,Clarion Collection,general,5. Very positive perception
186,Clarion Collection,general,5. Very positive perception
187,Clarion Collection,general,4. Fairly positive perception
188,Clarion Collection,general,3. Neither positive nor negative perception
189,Clarion Collection,general,I Don´t know the company
193,Clarion Collection,general,3. Neither positive nor negative perception
194,Clarion Collection,general,3. Neither positive nor negative perception
195,Clarion Collection,general,5. Very positive perception
196,Clarion Collection,general,5. Very positive perception
197,Clarion Collection,general,I Don´t know the company
199,Clarion Collection,general,3. Neither positive nor negative perception
200,Clarion Collection,general,4. Fairly positive perception
203,Clarion Collection,general,2. Somewhat negative perception
207,Clarion Collection,general,I Don´t know the company
208,Clarion Collection,general,5. Very positive perception
209,Clarion Collection,general,5. Very positive perception
210,Clarion Collection,general,5. Very positive perception
211,Clarion Collection,general,5. Very positive perception
214,Clarion Collection,general,4. Fairly positive perception
215,Clarion Collection,general,4. Fairly positive perception
217,Clarion Collection,general,4. Fairly positive perception
226,Clarion Collection,general,4. Fairly positive perception
227,Clarion Collection,general,I Don´t know the company
230,Clarion Collection,general,4. Fairly positive perception
231,Clarion Collection,general,4. Fairly positive perception
233,Clarion Collection,general,5. Very positive perception
236,Clarion Collection,general,5. Very positive perception
237,Clarion Collection,general,5. Very positive perception
238,Clarion Collection,general,4. Fairly positive perception
240,Clarion Collection,general,4. Fairly positive perception
241,Clarion Collection,general,5. Very positive perception
243,Clarion Collection,general,5. Very positive perception
245,Clarion Collection,general,4. Fairly positive perception
246,Clarion Collection,general,4. Fairly positive perception
247,Clarion Collection,general,5. Very positive perception
250,Clarion Collection,general,I Don´t know the company
251,Clarion Collection,general,4. Fairly positive perception
252,Clarion Collection,general,5. Very positive perception
253,Clarion Collection,general,5. Very positive perception
255,Clarion Collection,general,3. Neither positive nor negative perception
256,Clarion Collection,general,4. Fairly positive perception
258,Clarion Collection,general,3. Neither positive nor negative perception
264,Clarion Collection,general,4. Fairly positive perception
266,Clarion Collection,general,3. Neither positive nor negative perception
268,Clarion Collection,general,5. Very positive perception
270,Clarion Collection,general,5. Very positive perception
271,Clarion Collection,general,4. Fairly positive perception
274,Clarion Collection,general,5. Very positive perception
279,Clarion Collection,general,5. Very positive perception
280,Clarion Collection,general,4. Fairly positive perception
281,Clarion Collection,general,5. Very positive perception
282,Clarion Collection,general,3. Neither positive nor negative perception
283,Clarion Collection,general,3. Neither positive nor negative perception
284,Clarion Collection,general,4. Fairly positive perception
286,Clarion Collection,general,4. Fairly positive perception
287,Clarion Collection,general,5. Very positive perception
289,Clarion Collection,general,5. Very positive perception
290,Clarion Collection,general,5. Very positive perception
292,Clarion Collection,general,5. Very positive perception
295,Clarion Collection,general,3. Neither positive nor negative perception
297,Clarion Collection,general,5. Very positive perception
300,Clarion Collection,general,4. Fairly positive perception
302,Clarion Collection,general,5. Very positive perception
304,Clarion Collection,general,4. Fairly positive perception
306,Clarion Collection,general,5. Very positive perception
308,Clarion Collection,general,3. Neither positive nor negative perception
311,Clarion Collection,general,4. Fairly positive perception
314,Clarion Collection,general,4. Fairly positive perception
315,Clarion Collection,general,5. Very positive perception
319,Clarion Collection,general,5. Very positive perception
320,Clarion Collection,general,4. Fairly positive perception
323,Clarion Collection,general,3. Neither positive nor negative perception
329,Clarion Collection,general,5. Very positive perception
330,Clarion Collection,general,5. Very positive perception
334,Clarion Collection,general,5. Very positive perception
336,Clarion Collection,general,5. Very positive perception
337,Clarion Collection,general,5. Very positive perception
339,Clarion Collection,general,4. Fairly positive perception
341,Clarion Collection,general,4. Fairly positive perception
342,Clarion Collection,general,3. Neither positive nor negative perception
346,Clarion Collection,general,5. Very positive perception
348,Clarion Collection,general,4. Fairly positive perception
350,Clarion Collection,general,4. Fairly positive perception
352,Clarion Collection,general,5. Very positive perception
353,Clarion Collection,general,4. Fairly positive perception
359,Clarion Collection,general,5. Very positive perception
362,Clarion Collection,general,5. Very positive perception
363,Clarion Collection,general,5. Very positive perception
364,Clarion Collection,general,3. Neither positive nor negative perception
365,Clarion Collection,general,5. Very positive perception
369,Clarion Collection,general,5. Very positive perception
371,Clarion Collection,general,4. Fairly positive perception
377,Clarion Collection,general,5. Very positive perception
378,Clarion Collection,general,5. Very positive perception
380,Clarion Collection,general,3. Neither positive nor negative perception
381,Clarion Collection,general,5. Very positive perception
383,Clarion Collection,general,5. Very positive perception
384,Clarion Collection,general,5. Very positive perception
390,Clarion Collection,general,4. Fairly positive perception
391,Clarion Collection,general,5. Very positive perception
393,Clarion Collection,general,I Don´t know the company
395,Clarion Collection,general,2. Somewhat negative perception
396,Clarion Collection,general,4. Fairly positive perception
397,Clarion Collection,general,I Don´t know the company
399,Clarion Collection,general,5. Very positive perception
400,Clarion Collection,general,3. Neither positive nor negative perception
401,Clarion Collection,general,5. Very positive perception
404,Clarion Collection,general,4. Fairly positive perception
405,Clarion Collection,general,4. Fairly positive perception
406,Clarion Collection,general,5. Very positive perception
413,Clarion Collection,general,4. Fairly positive perception
414,Clarion Collection,general,5. Very positive perception
417,Clarion Collection,general,3. Neither positive nor negative perception
420,Clarion Collection,general,4. Fairly positive perception
421,Clarion Collection,general,4. Fairly positive perception
427,Clarion Collection,general,4. Fairly positive perception
429,Clarion Collection,general,5. Very positive perception
430,Clarion Collection,general,4. Fairly positive perception
431,Clarion Collection,general,5. Very positive perception
436,Clarion Collection,general,4. Fairly positive perception
437,Clarion Collection,general,5. Very positive perception
438,Clarion Collection,general,4. Fairly positive perception
440,Clarion Collection,general,4. Fairly positive perception
442,Clarion Collection,general,5. Very positive perception
446,Clarion Collection,general,5. Very positive perception
448,Clarion Collection,general,5. Very positive perception
451,Clarion Collection,general,4. Fairly positive perception
453,Clarion Collection,general,5. Very positive perception
455,Clarion Collection,general,5. Very positive perception
457,Clarion Collection,general,5. Very positive perception
461,Clarion Collection,general,5. Very positive perception
462,Clarion Collection,general,5. Very positive perception
466,Clarion Collection,general,5. Very positive perception
467,Clarion Collection,general,4. Fairly positive perception
468,Clarion Collection,general,5. Very positive perception
470,Clarion Collection,general,4. Fairly positive perception
471,Clarion Collection,general,4. Fairly positive perception
473,Clarion Collection,general,5. Very positive perception
475,Clarion Collection,general,4. Fairly positive perception
477,Clarion Collection,general,3. Neither positive nor negative perception
479,Clarion Collection,general,5. Very positive perception
482,Clarion Collection,general,4. Fairly positive perception
483,Clarion Collection,general,5. Very positive perception
484,Clarion Collection,general,4. Fairly positive perception
489,Clarion Collection,general,5. Very positive perception
491,Clarion Collection,general,5. Very positive perception
495,Clarion Collection,general,4. Fairly positive perception
496,Clarion Collection,general,5. Very positive perception
497,Clarion Collection,general,I Don´t know the company
499,Clarion Collection,general,5. Very positive perception
501,Clarion Collection,general,3. Neither positive nor negative perception
502,Clarion Collection,general,5. Very positive perception
505,Clarion Collection,general,4. Fairly positive perception
506,Clarion Collection,general,4. Fairly positive perception
509,Clarion Collection,general,4. Fairly positive perception
510,Clarion Collection,general,4. Fairly positive perception
511,Clarion Collection,general,3. Neither positive nor negative perception
512,Clarion Collection,general,4. Fairly positive perception
514,Clarion Collection,general,5. Very positive perception
515,Clarion Collection,general,4. Fairly positive perception
516,Clarion Collection,general,3. Neither positive nor negative perception
521,Clarion Collection,general,5. Very positive perception
522,Clarion Collection,general,4. Fairly positive perception
523,Clarion Collection,general,5. Very positive perception
527,Clarion Collection,general,5. Very positive perception
530,Clarion Collection,general,3. Neither positive nor negative perception
536,Clarion Collection,general,5. Very positive perception
537,Clarion Collection,general,5. Very positive perception
539,Clarion Collection,general,5. Very positive perception
540,Clarion Collection,general,3. Neither positive nor negative perception
542,Clarion Collection,general,5. Very positive perception
543,Clarion Collection,general,4. Fairly positive perception
545,Clarion Collection,general,5. Very positive perception
547,Clarion Collection,general,4. Fairly positive perception
550,Clarion Collection,general,5. Very positive perception
551,Clarion Collection,general,5. Very positive perception
552,Clarion Collection,general,4. Fairly positive perception
554,Clarion Collection,general,4. Fairly positive perception
556,Clarion Collection,general,3. Neither positive nor negative perception
558,Clarion Collection,general,5. Very positive perception
560,Clarion Collection,general,5. Very positive perception
561,Clarion Collection,general,5. Very positive perception
563,Clarion Collection,general,3. Neither positive nor negative perception
564,Clarion Collection,general,4. Fairly positive perception
565,Clarion Collection,general,5. Very positive perception
567,Clarion Collection,general,4. Fairly positive perception
570,Clarion Collection,general,5. Very positive perception
571,Clarion Collection,general,5. Very positive perception
572,Clarion Collection,general,4. Fairly positive perception
573,Clarion Collection,general,5. Very positive perception
577,Clarion Collection,general,5. Very positive perception
583,Clarion Collection,general,I Don´t know the company
585,Clarion Collection,general,5. Very positive perception
586,Clarion Collection,general,5. Very positive perception
588,Clarion Collection,general,4. Fairly positive perception
591,Clarion Collection,general,5. Very positive perception
593,Clarion Collection,general,3. Neither positive nor negative perception
594,Clarion Collection,general,4. Fairly positive perception
595,Clarion Collection,general,4. Fairly positive perception
600,Clarion Collection,general,5. Very positive perception
601,Clarion Collection,general,5. Very positive perception
606,Clarion Collection,general,4. Fairly positive perception
608,Clarion Collection,general,4. Fairly positive perception
609,Clarion Collection,general,5. Very positive perception
613,Clarion Collection,general,5. Very positive perception
616,Clarion Collection,general,5. Very positive perception
617,Clarion Collection,general,5. Very positive perception
618,Clarion Collection,general,5. Very positive perception
620,Clarion Collection,general,4. Fairly positive perception
622,Clarion Collection,general,5. Very positive perception
624,Clarion Collection,general,5. Very positive perception
626,Clarion Collection,general,4. Fairly positive perception
632,Clarion Collection,general,5. Very positive perception
637,Clarion Collection,general,4. Fairly positive perception
638,Clarion Collection,general,3. Neither positive nor negative perception
639,Clarion Collection,general,4. Fairly positive perception
643,Clarion Collection,general,5. Very positive perception
644,Clarion Collection,general,5. Very positive perception
646,Clarion Collection,general,4. Fairly positive perception
648,Clarion Collection,general,4. Fairly positive perception
1,First Hotels,general,5. Very positive perception
3,First Hotels,general,4. Fairly positive perception
5,First Hotels,general,4. Fairly positive perception
7,First Hotels,general,4. Fairly positive perception
8,First Hotels,general,3. Neither positive nor negative perception
13,First Hotels,general,I Don´t know the company
14,First Hotels,general,3. Neither positive nor negative perception
16,First Hotels,general,3. Neither positive nor negative perception
18,First Hotels,general,3. Neither positive nor negative perception
20,First Hotels,general,2. Somewhat negative perception
24,First Hotels,general,3. Neither positive nor negative perception
25,First Hotels,general,I Don´t know the company
26,First Hotels,general,5. Very positive perception
27,First Hotels,general,I Don´t know the company
29,First Hotels,general,4. Fairly positive perception
34,First Hotels,general,4. Fairly positive perception
37,First Hotels,general,3. Neither positive nor negative perception
40,First Hotels,general,I Don´t know the company
42,First Hotels,general,4. Fairly positive perception
46,First Hotels,general,4. Fairly positive perception
51,First Hotels,general,3. Neither positive nor negative perception
54,First Hotels,general,I Don´t know the company
58,First Hotels,general,I Don´t know the company
60,First Hotels,general,I Don´t know the company
63,First Hotels,general,4. Fairly positive perception
68,First Hotels,general,3. Neither positive nor negative perception
72,First Hotels,general,3. Neither positive nor negative perception
74,First Hotels,general,4. Fairly positive perception
77,First Hotels,general,3. Neither positive nor negative perception
79,First Hotels,general,I Don´t know the company
80,First Hotels,general,3. Neither positive nor negative perception
82,First Hotels,general,4. Fairly positive perception
85,First Hotels,general,3. Neither positive nor negative perception
86,First Hotels,general,3. Neither positive nor negative perception
88,First Hotels,general,I Don´t know the company
92,First Hotels,general,4. Fairly positive perception
96,First Hotels,general,3. Neither positive nor negative perception
97,First Hotels,general,4. Fairly positive perception
101,First Hotels,general,3. Neither positive nor negative perception
104,First Hotels,general,4. Fairly positive perception
106,First Hotels,general,4. Fairly positive perception
107,First Hotels,general,3. Neither positive nor negative perception
108,First Hotels,general,4. Fairly positive perception
111,First Hotels,general,I Don´t know the company
115,First Hotels,general,3. Neither positive nor negative perception
